iter	Passed	Remaining
914	7454	692
915	7464	684
916	7475	676
917	7486	668
918	7496	660
919	7507	652
920	7517	644
921	7528	636
922	7540	629
923	7551	621
924	7562	613
925	7573	605
926	7582	597
927	7594	589
928	7604	581
929	7616	573
930	7627	565
931	7637	557
932	7648	549
933	7661	541
934	7672	533
935	7683	525
936	7695	517
937	7706	509
938	7717	501
939	7728	493
940	7739	485
941	7750	477
942	7760	469
943	7771	461
944	7781	452
945	7792	444
946	7801	436
947	7812	428
948	7821	420
949	7829	412
950	7837	403
951	7845	395
952	7853	387
953	7863	379
954	7872	370
955	7880	362
956	7888	354
957	7896	346
958	7904	337
959	7913	329
960	7921	321
961	7930	313
962	7939	305
963	7948	296
964	7956	288
965	7964	280
966	7972	272
967	7979	263
968	7987	255
969	7995	247
970	8003	239
971	8010	230
972	8018	222
973	8025	214
974	8033	205
975	8040	197
976	8048	189
977	8056	181
978	8063	172
979	8071	164
980	8079	156
981	8086	148
982	8094	139
983	8102	131
984	8110	123
985	8119	115
986	8127	107
987	8134	98
988	8142	90
989	8150	82
990	8158	74
991	8167	65
992	8176	57
993	8185	49
994	8195	41
995	8205	32
996	8215	24
997	8225	16
998	8236	8
999	8246	0
